"Claim_ID","Research_question","Analysis_scope","Claim_type","Value_or_status","Permitted_wording","Required_qualification","Evidence_file","Evidence_columns","Validation_status","Method_reference_ids","Supervisor_confirmation"
"EXPLORATORY_WAVE_2024_CENTRALITY","EXPLORATORY_NOT_FORMAL_RQ","Within-wave centrality, 2024","EXPLORATORY_EXPECTED_INFLUENCE","highest_EI_node=VCF0890; EI_CS_at_max_examined_drop=0.7501","Cautiously describe signed connectivity within the selected node set.","No causal importance, public salience, cross-wave centrality test, or intervention claim.","10_sample_primary_summary.csv","Highest_Expected_Influence_node; Highest_Expected_Influence; Expected_Influence_CS","EXPLORATORY_READY","M02;M04;M05","NO"
"RQ2_2012_NO_COLLEGE_DEGREE","RQ2","2012, No college degree","DESCRIPTIVE_EDUCATION_NETWORK","N=2773; retained_edges=28","Describe edges and relational configuration within this education-group network.","No formal between-group inference; education is not elite status or a direct measure of political sophistication.","10_education_summary.csv","N; Retained_edges; Result_readiness; Permitted_scope","READY_WITHIN_NETWORK_ONLY","M01;M02;M03;D01","RQ2_EXACT_WORDING_STILL_TO_BE_ENTERED_IN_DECISION_LOG"
"RQ2_2012_COLLEGE_OR_ADVANCED","RQ2","2012, College or advanced degree","DESCRIPTIVE_EDUCATION_NETWORK","N=1531; retained_edges=28","Describe edges and relational configuration within this education-group network.","No formal between-group inference; education is not elite status or a direct measure of political sophistication.","10_education_summary.csv","N; Retained_edges; Result_readiness; Permitted_scope","READY_WITHIN_NETWORK_ONLY","M01;M02;M03;D01","RQ2_EXACT_WORDING_STILL_TO_BE_ENTERED_IN_DECISION_LOG"
"RQ2_2016_NO_COLLEGE_DEGREE","RQ2","2016, No college degree","DESCRIPTIVE_EDUCATION_NETWORK","N=1478; retained_edges=28","Describe edges and relational configuration within this education-group network.","No formal between-group inference; education is not elite status or a direct measure of political sophistication.","10_education_summary.csv","N; Retained_edges; Result_readiness; Permitted_scope","READY_WITHIN_NETWORK_ONLY","M01;M02;M03;D01","RQ2_EXACT_WORDING_STILL_TO_BE_ENTERED_IN_DECISION_LOG"
"RQ2_2016_COLLEGE_OR_ADVANCED","RQ2","2016, College or advanced degree","DESCRIPTIVE_EDUCATION_NETWORK","N=1216; retained_edges=31","Describe edges and relational configuration within this education-group network.","No formal between-group inference; education is not elite status or a direct measure of political sophistication.","10_education_summary.csv","N; Retained_edges; Result_readiness; Permitted_scope","READY_WITHIN_NETWORK_ONLY","M01;M02;M03;D01","RQ2_EXACT_WORDING_STILL_TO_BE_ENTERED_IN_DECISION_LOG"
"RQ2_2020_NO_COLLEGE_DEGREE","RQ2","2020, No college degree","DESCRIPTIVE_EDUCATION_NETWORK","N=2624; retained_edges=30","Describe edges and relational configuration within this education-group network.","No formal between-group inference; education is not elite status or a direct measure of political sophistication.","10_education_summary.csv","N; Retained_edges; Result_readiness; Permitted_scope","READY_WITHIN_NETWORK_ONLY","M01;M02;M03;D01","RQ2_EXACT_WORDING_STILL_TO_BE_ENTERED_IN_DECISION_LOG"
"RQ2_2020_COLLEGE_OR_ADVANCED","RQ2","2020, College or advanced degree","DESCRIPTIVE_EDUCATION_NETWORK","N=2691; retained_edges=33","Describe edges and relational configuration within this education-group network.","No formal between-group inference; education is not elite status or a direct measure of political sophistication.","10_education_summary.csv","N; Retained_edges; Result_readiness; Permitted_scope","READY_WITHIN_NETWORK_ONLY","M01;M02;M03;D01","RQ2_EXACT_WORDING_STILL_TO_BE_ENTERED_IN_DECISION_LOG"
"RQ2_2024_NO_COLLEGE_DEGREE","RQ2","2024, No college degree","DESCRIPTIVE_EDUCATION_NETWORK","N=1729; retained_edges=34","Describe edges and relational configuration within this education-group network.","No formal between-group inference; education is not elite status or a direct measure of political sophistication.","10_education_summary.csv","N; Retained_edges; Result_readiness; Permitted_scope","READY_WITHIN_NETWORK_ONLY","M01;M02;M03;D01","RQ2_EXACT_WORDING_STILL_TO_BE_ENTERED_IN_DECISION_LOG"
"RQ2_2024_COLLEGE_OR_ADVANCED","RQ2","2024, College or advanced degree","DESCRIPTIVE_EDUCATION_NETWORK","N=1781; retained_edges=32","Describe edges and relational configuration within this education-group network.","No formal between-group inference; education is not elite status or a direct measure of political sophistication.","10_education_summary.csv","N; Retained_edges; Result_readiness; Permitted_scope","READY_WITHIN_NETWORK_ONLY","M01;M02;M03;D01","RQ2_EXACT_WORDING_STILL_TO_BE_ENTERED_IN_DECISION_LOG"
"CONTRAST_2004_2012_RETAINED_EDGE_COUNT_DIFFERENCE","RQ1","2004 to 2012","DESCRIPTIVE_DIRECTION_ROBUSTNESS","NOT_ROBUST","The observed direction did not consistently meet the pre-specified Step 09B reproducibility rule.","This classification is not a p-value, significance test, equivalence test, or population inference.","09B_claim_robustness.csv","A1_match; A2_match_proportion; A3_match_proportion; Minimum_match; Final_status","AUDITED","M01;M03","NO"
"CONTRAST_2004_2012_GLOBAL_STRENGTH_DIFFERENCE","RQ1","2004 to 2012","DESCRIPTIVE_DIRECTION_ROBUSTNESS","ROBUST","The observed direction met the pre-specified Step 09B reproducibility rule.","This classification is not a p-value, significance test, equivalence test, or population inference.","09B_claim_robustness.csv","A1_match; A2_match_proportion; A3_match_proportion; Minimum_match; Final_status","AUDITED","M01;M03","NO"
"CONTRAST_2012_2016_RETAINED_EDGE_COUNT_DIFFERENCE","RQ1","2012 to 2016","DESCRIPTIVE_DIRECTION_ROBUSTNESS","NOT_ROBUST","The observed direction did not consistently meet the pre-specified Step 09B reproducibility rule.","This classification is not a p-value, significance test, equivalence test, or population inference.","09B_claim_robustness.csv","A1_match; A2_match_proportion; A3_match_proportion; Minimum_match; Final_status","AUDITED","M01;M03","NO"
"CONTRAST_2012_2016_GLOBAL_STRENGTH_DIFFERENCE","RQ1","2012 to 2016","DESCRIPTIVE_DIRECTION_ROBUSTNESS","NOT_ROBUST","The observed direction did not consistently meet the pre-specified Step 09B reproducibility rule.","This classification is not a p-value, significance test, equivalence test, or population inference.","09B_claim_robustness.csv","A1_match; A2_match_proportion; A3_match_proportion; Minimum_match; Final_status","AUDITED","M01;M03","NO"
"CONTRAST_2016_2020_RETAINED_EDGE_COUNT_DIFFERENCE","RQ1","2016 to 2020","DESCRIPTIVE_DIRECTION_ROBUSTNESS","NOT_ROBUST","The observed direction did not consistently meet the pre-specified Step 09B reproducibility rule.","This classification is not a p-value, significance test, equivalence test, or population inference.","09B_claim_robustness.csv","A1_match; A2_match_proportion; A3_match_proportion; Minimum_match; Final_status","AUDITED","M01;M03","NO"
"CONTRAST_2016_2020_GLOBAL_STRENGTH_DIFFERENCE","RQ1","2016 to 2020","DESCRIPTIVE_DIRECTION_ROBUSTNESS","MIXED","The observed direction did not consistently meet the pre-specified Step 09B reproducibility rule.","This classification is not a p-value, significance test, equivalence test, or population inference.","09B_claim_robustness.csv","A1_match; A2_match_proportion; A3_match_proportion; Minimum_match; Final_status","AUDITED","M01;M03","NO"
"CONTRAST_2020_2024_RETAINED_EDGE_COUNT_DIFFERENCE","RQ1","2020 to 2024","DESCRIPTIVE_DIRECTION_ROBUSTNESS","NOT_ROBUST","The observed direction did not consistently meet the pre-specified Step 09B reproducibility rule.","This classification is not a p-value, significance test, equivalence test, or population inference.","09B_claim_robustness.csv","A1_match; A2_match_proportion; A3_match_proportion; Minimum_match; Final_status","AUDITED","M01;M03","NO"
"CONTRAST_2020_2024_GLOBAL_STRENGTH_DIFFERENCE","RQ1","2020 to 2024","DESCRIPTIVE_DIRECTION_ROBUSTNESS","NOT_ROBUST","The observed direction did not consistently meet the pre-specified Step 09B reproducibility rule.","This classification is not a p-value, significance test, equivalence test, or population inference.","09B_claim_robustness.csv","A1_match; A2_match_proportion; A3_match_proportion; Minimum_match; Final_status","AUDITED","M01;M03","NO"
"CONTRAST_2004_2024_RETAINED_EDGE_COUNT_DIFFERENCE","RQ1","2004 to 2024","DESCRIPTIVE_DIRECTION_ROBUSTNESS","ROBUST","The observed direction met the pre-specified Step 09B reproducibility rule.","This classification is not a p-value, significance test, equivalence test, or population inference.","09B_claim_robustness.csv","A1_match; A2_match_proportion; A3_match_proportion; Minimum_match; Final_status","AUDITED","M01;M03","HISTORICAL_INTERPRETATION_SCOPE_ADVISED"
"CONTRAST_2004_2024_GLOBAL_STRENGTH_DIFFERENCE","RQ1","2004 to 2024","DESCRIPTIVE_DIRECTION_ROBUSTNESS","ROBUST","The observed direction met the pre-specified Step 09B reproducibility rule.","This classification is not a p-value, significance test, equivalence test, or population inference.","09B_claim_robustness.csv","A1_match; A2_match_proportion; A3_match_proportion; Minimum_match; Final_status","AUDITED","M01;M03","HISTORICAL_INTERPRETATION_SCOPE_ADVISED"
