"decision_id","topic","current_value","decision_status","evidence_status","implementation_status","researcher_approval_status","supervisor_confirmation_status","analysis_effect","primary_evidence","execution_evidence","decision_record","prerequisites","dependent_files","supersedes","last_verified","notes","canonical_reference_policy"
"D09A","Node coding directions","Use verified node-specific substantive directions and publish before/after frequencies","FROZEN","DIRECT_PRIMARY_EVIDENCE","VERIFIED","APPROVED","NOT_REQUIRED","NO_CURRENT_EFFECT","Official CDF codebook","Recoding-frequency audits","FINAL_METHODOLOGY_FREEZE_TABLE.csv","None; D09B is implementation provenance","Recoding documentation; methodology","Mixed D09 status","2026-08-24","No universal liberal/conservative direction.","REQUIRED"
"D09B","2024 raw-to-CDF mapping implementation","Use V242227→VCF0879a and V242228→VCF9223; all 54 year-node source-variable identifiers are explicit in repaired R/04","FROZEN","DIRECT_PRIMARY_EVIDENCE","VERIFIED","APPROVED","NOT_REQUIRED","NO_CURRENT_EFFECT","Official single-wave codebooks and CDF documentation; 2024 raw-to-CDF casewise audit","R/04 repaired and reproduced; 5,521/5,521 exact matches for both 2024 immigration mappings; seven-field output diff passed","R04_G02B_REPAIR_REPRODUCTION_REPORT.md","None","R/04_final_measurement_matrix.R; versioned measurement output; D21","Earlier unresolved or incorrect source-variable mappings","2026-08-28","Source-variable mapping is closed. Exact full wording remains blank for 18 spending-item wave cells and is a separate measurement-documentation task; no formal model was run.","REQUIRED"
"D10A","2024 -1 substantive classification","For 2024 VCF0806, VCF0809 and VCF9223, raw -1 is official structural inapplicability and remains analytically excluded","FROZEN","REPRODUCED","VERIFIED","APPROVED","NOT_REQUIRED","NO_CURRENT_EFFECT","Official 2024 source provenance with hashes/pages; GATE1_PRE_MODIFICATION_CHECK.md","FINAL_RECODING_FREQUENCY_AUDIT_UPDATED.csv; GATE1_IMPACT_ASSESSMENT.md","research_decisions_log.md — 2026-08-22 targeted correction","None for classification; G03 governs future archive completeness","Recoding documentation; D10B implementation repair","Mixed D10 classification/implementation state","2026-08-24","Substantive classification is separate from the R/05 implementation defect.","REQUIRED"
"D10B","R/05 year-node-value-specific implementation repair","Bounded R/05 year-node-value-specific repair completed: only 2024 -1 on VCF0806, VCF0809 and VCF9223 is classified as official structural inapplicability; analytic exclusion is unchanged","FROZEN","REPRODUCED","VERIFIED","APPROVED","NOT_REQUIRED","NO_CURRENT_EFFECT","Official 2024 provenance record; GATE1_PRE_MODIFICATION_CHECK.md","R05_G02A_REPAIR_REPRODUCTION_REPORT.md; 23/23 tests passed; pre SHA A442D22BE15653BCF51668136513DB72D580822A14462344D656841F29D8ABED; post SHA 968096BE978BDB6CDA460759E13ADB523E30C0B794EA33065E65733305F608B1","research_decisions_log.md — 2026-08-28 G02A execution","None for this completed repair","R/05_preanalysis_validation_gates.R; Gate 1 outputs; core GGM readiness","D10 implementation mixed with the already verified substantive classification","2026-08-28","Complete-case and education counts were unchanged; no formal model was run.","REQUIRED"
"D11","Missing-data strategy","Complete-case primary; prespecified pairwise-available polychoric EBICglasso sensitivity for the five primary overall waves; no structural-missingness imputation","FROZEN","PARTIALLY_SUPPORTED","COMPLETE_WITH_WARNINGS","APPROVED","ADVISED","NO_CURRENT_EFFECT","Epskamp and Fried (2018); Burger et al. (2023); official ANES missingness rules; verified bootnet 1.9.1/qgraph 1.10.1 interfaces","Five D11 point networks completed; pairwise-N means and archived matrices reproduced within sqrt(.Machine$double.eps); all five inputs positive definite; all pairwise-average reference graphs reproduced; retained warnings preserved","research_decisions_log.md — 2026-08-28; PAIRWISE_POLYCHORIC_SENSITIVITY_SPECIFICATION.md; D11_PAIRWISE_DIAGNOSTICS_REPORT_20260828.md","Completed and validated within Step 09 scope","Methodology; preprocessing; sensitivity plan","Earlier open or D20A-dependent missing-data plan","2026-08-30","Pairwise remains a sensitivity, not a correction for complete-case selection. No pairwise bootstrap, centrality, NCT or significance test was run.","REQUIRED"
"D12","Complete-case numerical status","Existing complete-case and education counts remain valid; updated narrative replacement still required","FROZEN","REPRODUCED","VERIFIED","APPROVED","NOT_REQUIRED","NO_CURRENT_EFFECT","Official -1 meaning","GATE1_IMPACT_ASSESSMENT.md; reproduction evidence","research_decisions_log.md — 2026-08-22","Create updated report before cleanup supersession","COMPLETE_CASE_SELECTION_REPORT_UPDATED.md","Diagnostic-only 2024 narrative","2026-08-23","Replacement is a governance requirement, not a numerical rerun.","REQUIRED"
"D13","Estimator","Polychoric-correlation EBICglasso GGM for homogeneous ordinal nodes","FROZEN","PARTIALLY_SUPPORTED","PRIMARY_EXECUTED_AND_VALIDATED","APPROVED","ADVISED","NO_CURRENT_EFFECT","Epskamp and Fried (2018); Burger et al. (2023)","Five formal point networks completed; 35/35 structural checks passed; every graph exactly reproduced the graph from the saved audited polychoric matrix","STEP07_FORMAL_EXECUTION_RESULT.md; research_decisions_log.md — 2026-08-30 D21 completion","Read-only formal-output audit before interpretation","Formal model scripts and outputs","Estimator-open files","2026-08-30","All five point estimations recorded a dense-regularised-network warning; this is a reporting/review flag, not an estimation failure.","REQUIRED"
"D14","EBIC gamma","0.50 primary; 0.25 is the sole approved gamma sensitivity","FROZEN","PARTIALLY_SUPPORTED","PRIMARY_AND_SENSITIVITY_COMPLETE","APPROVED","NOT_REQUIRED","NO_CURRENT_EFFECT","Foygel and Drton; Epskamp and Fried","Gamma 0.50 primary execution and gamma 0.25 five-wave sensitivity completed; gamma 0.25 returned the same graph as gamma 0.50 in all five frozen inputs","STEP07_FORMAL_EXECUTION_RESULT.md; research_decisions_log.md — 2026-08-30 D21 completion","Completed and validated within Step 07 and Step 09 scopes","Methodology; sensitivity analysis","Gamma 0 frozen sensitivity","2026-08-30","This result is input-specific and does not establish universal gamma equivalence or authorise post-result tuning.","REQUIRED"
"D15","Survey weights","Unweighted primary nine-node complete-case networks with analytic-sample inference; VCF0009z-weighted descriptives; W_CDF and W_POST_COMPAT weighted point networks retained only as supplementary sensitivities; Kish ESS diagnostic only","FROZEN","PARTIALLY_SUPPORTED","STEP09_REUSE_COMPLETE","APPROVED","DEFERRED_BY_RESEARCHER","NO_CURRENT_EFFECT","Official ANES full-sample and post-election weight documentation; wCorr weighted-polychoric documentation; Epskamp and Fried 2018; Epskamp Borsboom and Fried 2018; Burger et al. 2023","Blind five-wave pilot remained hash-valid; Step 09 reused ten W_CDF/W_POST_COMPAT point networks without re-estimation and produced complete descriptive comparison tables","D15_SURVEY_WEIGHT_PILOT_RESULT.md; STEP09_SENSITIVITY_ANALYSIS_FREEZE.md; research_decisions_log.md — 2026-08-30 D15 adjudication","Completed and validated within reuse-only Step 09 scope","Methodology estimand; weighted descriptives; limitations; D15 pilot; Step 09 reuse","Automatic national-representativeness claim; weighted-primary or Kish-N proposal","2026-08-30","Weighted point networks remain sensitivity estimates only; no weighted bootstrap, centrality, NCT or design-based population-network inference was run.","REQUIRED"
"D16","Centrality (historical rule)","Historical Strength-only centrality rule; current centrality metric and case-dropping specification are governed by D23","SUPERSEDED","PARTIALLY_SUPPORTED","SUPERSEDED_BY_D23","APPROVED","ADVISED","HISTORICAL_ONLY","Epskamp et al. (2018); Bringmann et al. (2019)","Weakest-subgroup pilot","research_decisions_log.md — 2026-08-21; supersession boundary recorded 2026-08-30","D23","Historical methodology records only","D23 replaces only the Strength-only metric clause","2026-08-30","Do not use this row as current execution authority; D23 controls the bounded exploratory centrality workflow.","HISTORICAL_ONLY"
"D17","EGA/community analysis","Omit EGA, Walktrap, communities and bridge analysis from current bounded design","NOT_IN_CURRENT_SCOPE","PARTIALLY_SUPPORTED","NOT_APPLICABLE","APPROVED","ADVISED","NO_CURRENT_EFFECT","Method literature; no approved community RQ","No EGA run","research_decisions_log.md — 2026-08-21","New explicit approval to reopen scope","Project Plan audit only","Project Plan EGA/bridge proposal","2026-08-24","Scope choice, not a claim that EGA is invalid.","REQUIRED"
"D18","Network Comparison Test","Omit NCT from the current bounded dissertation analysis; reopen only through new explicit approval, a result-blind ordinal validation and calibration plan, and a fixed comparison and multiplicity specification","NOT_IN_CURRENT_SCOPE","PARTIALLY_SUPPORTED","NOT_APPLICABLE","APPROVED","ADVISED","NO_CURRENT_EFFECT","van Borkulo et al. (2023) full text; NetworkComparisonTest 2.2.3 documentation; ordinal validation gap; project imbalance and dense-network evidence","No ordinal calibration or NCT run","research_decisions_log.md — 2026-08-30 D24","New explicit approval; prospectively justified calibration criteria; supervisor confirmation advised","Historical NCT records; optional future NCT plan only","Broad or conditional NCT family and Gate-1 dependency","2026-08-30","Project-specific omission. This row does not claim that NCT is generally invalid and does not affect the validated primary GGMs.","REQUIRED"
"D19","Survey-mode sensitivity","Bounded all-internet overall-sample point-network sensitivity for 2012, 2016, 2020 and 2024 using VCF0017 code 4, the frozen nine ordered nodes, complete cases, unweighted polychoric EBICglasso and gamma 0.50; 2004 has no mode-matched internet sample; retain the survey-mode interpretation limitation","FROZEN","PARTIALLY_SUPPORTED","COMPLETE_WITH_WARNINGS","APPROVED","ADVISED","NO_CURRENT_EFFECT","Official CDF VCF0017 documentation; audited mode and complete-case counts; official ANES 2017 Board mode report","Four all-internet samples reproduced N=3062,1914,5094,2823; all category/cell/type/matrix gates passed; four point networks completed with dense-network warnings retained","STEP09_SENSITIVITY_ANALYSIS_FREEZE.md; SURVEY_MODE_INTERPRETATION_BOUNDARY.md; research_decisions_log.md — 2026-08-30 D19/D27","Completed and validated within Step 09 scope","09 sensitivity notebook; methodology sensitivity subsection; results robustness table; limitations","Open three-option D19 state and stale 2024-recoding-gate condition","2026-08-30","D19 does not isolate a causal mode effect, remove sample-composition differences or make 2004 mode-comparable.","REQUIRED"
"D20A","Remaining candidate sensitivity set","Approved minimum sensitivity set: gamma 0.25 as the sole gamma sensitivity; no-VCF0839 five-wave overall sensitivity at gamma 0.50 on the original nine-node complete-case respondent set. 2008 is not part of D20A and is excluded from later analysis by D04.","FROZEN","PARTIALLY_SUPPORTED","COMPLETE_WITH_WARNINGS","APPROVED","ADVISED","NO_CURRENT_EFFECT","Method evidence corpus; feasibility evidence; explicit researcher scope decision","Five gamma-0.25 and five no-VCF0839 point networks completed; frozen matrices, sample membership and node-order gates passed; only 28 shared edges were compared for the eight-node models","research_decisions_log.md — 2026-08-28; D04 alignment 2026-08-30","Completed and validated within Step 09 scope","Sensitivity plan","Earlier D20A bundle; pairwise sensitivity is now governed independently by D11","2026-08-30","Gamma 0.25 was the sole gamma sensitivity. No raw global-strength or centrality comparison was made across different node counts.","REQUIRED"
"D20B","Spearman-correlation GGM sensitivity","Separate optional test of dependence on latent-threshold/polychoric association choice","RESEARCHER_DECISION_REQUIRED","PARTIALLY_SUPPORTED","NOT_STARTED","NOT_YET_APPROVED","NOT_REQUIRED","BLOCKS_OPTIONAL_MODULE","Method-purpose rationale; no source makes it mandatory","Not run","Pending explicit researcher decision","Core GGM; workload decision","Sensitivity plan if approved","Earlier automatic frozen-sensitivity treatment","2026-08-23","Moderate-to-high additional workload.","REQUIRED"
"D20C","Unregularised-GGM sensitivity","Separate optional test of dependence on LASSO edge selection/shrinkage","RESEARCHER_DECISION_REQUIRED","PARTIALLY_SUPPORTED","NOT_STARTED","NOT_YET_APPROVED","NOT_REQUIRED","BLOCKS_OPTIONAL_MODULE","Regularisation-purpose rationale; no source makes it mandatory","Not run","Pending explicit researcher decision","Core GGM; matrix/inversion checks; workload decision","Sensitivity plan if approved","Earlier automatic frozen-sensitivity treatment","2026-08-23","Partly overlaps gamma .25 and adds high interpretation burden.","REQUIRED"
"D21","Final formal-analysis authorisation","Step 07 completed for five overall unweighted nine-node complete-case polychoric EBICglasso point networks at gamma 0.50 and 1,000 nonparametric edge-weight bootstrap resamples per wave","FROZEN","REPRODUCED","COMPLETE_AND_VALIDATED","APPROVED","NOT_REQUIRED","NO_CURRENT_EFFECT","D09B G02B source mapping; G02A recoding reproduction; D10B analysis-ready validation; D13 estimator; D14 gamma; D15 adjudication; D22 repetition count","5/5 input checks 35/35 point-network checks and 45/45 bootstrap checks passed; 5,000/5,000 bootstrap graphs returned; no retries or bootstrap-level warnings","STEP07_FORMAL_EXECUTION_RESULT.md; research_decisions_log.md — 2026-08-30 D21 completion","Read-only result audit before interpretation; separate decisions for every later module","Step 07 formal point-network and edge-accuracy outputs","D21 used as the bootstrap-method decision; blanket formal-analysis authorisation","2026-08-30","Does not authorise centrality case-dropping NCT education groups pairwise gamma no-VCF0839 survey-mode 2008 weighted-network sensitivity or political interpretation. All five point networks recorded a dense-network warning requiring cautious review of the smallest edges.","REQUIRED"
"D22","Network accuracy and stability procedure","Use 1,000 nonparametric edge-weight bootstrap resamples per network whose edges are substantively interpreted; the separate Expected Influence and Strength case-dropping workflow is governed by D23","FROZEN","PARTIALLY_SUPPORTED","COMPLETE_AND_VALIDATED","APPROVED","ADVISED","NO_CURRENT_EFFECT","Epskamp, Borsboom and Fried (2018); Burger et al. (2023)","Formal five-wave edge bootstrap complete: 5,000/5,000 graphs; D23 case-dropping complete: 5,000/5,000 networks; D08A education edge accuracy complete: 8,000/8,000 graphs, 96/96 checks, zero retries, warnings or errors","STEP07_FORMAL_EXECUTION_RESULT.md; STEP08_D08A_STAGE14_15_EXECUTION_RESULT.md; research_decisions_log.md — 2026-08-30 D21, D23 and D26 completion","D21, D23 and D26 completed and validated within their respective scopes","Overall and education edge-accuracy outputs; D23 exploratory overall-network centrality stability outputs","Earlier D22 procedure-only record awaiting a final case-dropping count","2026-08-30","Overall and descriptive education edge-accuracy execution is complete. D23 separately governs exploratory overall-network centrality; no education-group centrality was run.","REQUIRED"
"D23","Exploratory centrality and case-dropping stability","Five overall waves; one-step Expected Influence as the exploratory signed metric; raw Strength as auxiliary; 1,000 case-dropping bootstraps per wave; caseMin 0.05; caseMax 0.75; caseN 10; CS at correlation 0.70; 10-repetition 2004 technical test first","FROZEN","PARTIALLY_SUPPORTED","COMPLETE_AND_VALIDATED","APPROVED","ADVISED","NO_CURRENT_EFFECT","Supervisor project guidance; Robinaugh, Millner and McNally (2016); Epskamp, Borsboom and Fried (2018); Bringmann et al. (2019); Burger et al. (2023); bootnet 1.9.1 manual","Five formal 1,000-repetition case-dropping runs completed: 5,000/5,000 bootstrap networks returned; 60/60 validation checks passed; no retries or captured bootstrap-level warnings; all 10 CS values finite; five stability plots created; reuse-only render verified the saved outputs without recomputation","research_decisions_log.md — 2026-08-30 D23 authorisation and completion","D21 complete; validated formal network bundle; 2004 10-repetition technical test passed; formal five-wave case-dropping outputs validated","07B centrality notebook; case-dropping models, tables, figures and logs","D16 Strength-only metric clause; D22 unresolved case-dropping clause only","2026-08-30","Exploratory only. Interpret EI as net signed conditional connectivity under the pre-specified coding. Do not interpret causal influence, political importance, salience or intervention value. No education-group centrality, Bridge EI, closeness, betweenness, NCT or cross-wave centrality tests. Formal five-wave case-dropping completed and validated. In every wave, EI and Strength reached the maximum examined CS level of approximately 0.75; this is not a claim that the exact population CS equals 0.75. The 2012, 2016, 2020 and 2024 logs retain the lowest-lambda sparsity-assumption message; this was not an estimation failure.","REQUIRED"
"D24","Step-08 network-comparison scope","Descriptively compare the five validated overall networks using a common layout and scale, all edge weights, retained-edge status, global strength, within-wave edge accuracy and authorised exploratory centrality; report four consecutive contrasts plus the 2004-2024 endpoint; no between-wave significance claims or NCT","FROZEN","PARTIALLY_SUPPORTED","STAGES_1_TO_12_COMPLETE_AND_VALIDATED","APPROVED","ADVISED","ENABLES_BOUNDED_MODULE","Supervisor direction; Epskamp et al. 2018; Burger et al. 2023; van Borkulo et al. 2023; completed Step-06 and Step-07 evidence","Step-08 stages 1-12 completed: five validated overall networks reused without re-estimation; common-layout figures and descriptive tables created; existing 07A/07B evidence linked; eight education-group samples constructed and validated; no education model, NCT, bootstrap or sensitivity analysis run","STEP08_NETWORK_COMPARISON_FREEZE.md; STEP08_STAGES_1_12_EXECUTION_RESULT.md; 08_stage1_12_completion_status.csv; research_decisions_log.md — 2026-08-30 D24","Stages 13 onward require a separate gate; education input diagnostics and estimation remain unexecuted","08_network_comparisons.Rmd; 08_network_comparisons.html; 08_stage1_12_output_inventory.csv; Results comparison tables and figures; education intermediate bundle","Broad inferential comparison family","2026-08-30","The 2004-2012 interval is eight years and later intervals are four years. Global strength is not equated with ideological constraint. D05B still limits the strength of historical interpretation. Stages 13 onward remain unauthorised.","REQUIRED"
"D25","Step-08 Stage-13 education polychoric input diagnostics","Run result-blind input diagnostics only for the eight Stage-12 education samples: fixed nine-node order; complete-case ordered factors; unweighted lavaan polychoric correlations; marginal category frequencies; all 36 pairwise-cell counts; all warning, message and error capture; finite, symmetric, unit-diagonal, bounded and positive-definite matrix checks; no category merging, matrix repair or model estimation","FROZEN","REPRODUCED","STAGE_13_COMPLETE_AND_VALIDATED","APPROVED","NOT_REQUIRED","ENABLES_BOUNDED_MODULE","Validated Step-06 polychoric diagnostic implementation; D08A and D24 specifications; validated Stage-12 education bundle; explicit researcher instruction to proceed to the next stage","Eight of eight education samples passed source, category and matrix gates; all eight direct lavaan polychoric matrices were warning-free, error-free, finite and positive definite; all are technically ready for a separately authorised Stage 14; sparse-cell warnings retained","STEP08_STAGE13_EXECUTION_RESULT.md; 08A_stage13_status.csv; 08A_stage14_readiness.csv; research_decisions_log.md — 2026-08-30 D25 completion","Stage 13 complete; Stage 14 requires separate authorisation and must consume the saved matrices without repair","08A_education_polychoric_input_diagnostics.Rmd; 08A_education_polychoric_input_diagnostics.html; 08A diagnostic CSVs; 08A education polychoric input bundle; Stage-13 log","Any informal or ungated education input diagnostic","2026-08-30","All eight groups are technically ready for Stage 14, but three college/advanced groups contain zero pairwise cells and all eight contain cells with counts 1-4. These are precision risks for estimation and later bootstrap, not grounds for category or node changes. Stage 14 onward remains unauthorised.","REQUIRED"
"D26","Step-08 D08A education point networks and edge-weight accuracy","Estimate eight descriptive education-group networks for 2012, 2016, 2020 and 2024 using the frozen nine ordered nodes, actual group complete-case N, unweighted polychoric EBICglasso at gamma 0.50, followed by 1,000 nonparametric edge-only bootstrap samples per network; exclude centrality, NCT, weighted estimation, sensitivity analyses and political interpretation","FROZEN","SUPPORTED_AND_PROJECT_SPECIFIC","COMPLETE_AND_VALIDATED","APPROVED","ADVISED","NO_CURRENT_EFFECT","Epskamp and Fried 2018; Epskamp Borsboom and Fried 2018; Burger et al. 2023; Foygel and Drton 2010; official bootnet and qgraph documentation; validated Stage 12 and Stage 13 evidence","Eight point networks completed with zero reference-graph difference; 10-repetition pilot passed 12/12 checks; eight 1,000-repetition bootstraps returned 8,000/8,000 valid networks; 96/96 checks passed; zero retries, bootstrap warnings or errors; 104/104 output hashes independently verified","STEP08_D08A_STAGE14_15_METHOD_FREEZE.md; STEP08_D08A_STAGE14_15_EXECUTION_RESULT.md; research_decisions_log.md — 2026-08-30 D26 completion","Completed and validated","08B education notebook and HTML; eight point models; eight bootstrap models; combined RDS files; validation, diagnostics, summary, logs and hash inventory","None","2026-08-30","D08A is complete only within its descriptive and within-network accuracy scope. D08B formal education comparison, centrality, NCT, weighted estimation, sensitivities and political interpretation were not run.","REQUIRED"
"D27","Step-09 minimum sensitivity scope","Include D11 pairwise-available polychoric sensitivity, D20A gamma 0.25, D20A eight-node no-VCF0839 sensitivity on the original nine-node respondent sets, reuse-only D15 W_CDF and W_POST_COMPAT weighted point networks, and D19 all-internet 2012-2024 point networks; exclude 2008, NCT, education sensitivity, Spearman GGM, unregularised GGM and all weighted resampling or centrality","FROZEN","PARTIALLY_SUPPORTED","COMPLETE_AND_VALIDATED","APPROVED","ADVISED","NO_CURRENT_EFFECT","D11 and D15 validated evidence; D20A researcher approval; D19 official mode evidence; Step 07 and Step 08 completed outputs","All authorised Step 09 units completed: five D11, five gamma-0.25, five no-VCF0839, ten D15 reuse variants, four D19 and 180 claim audits; no unit NOT_ESTIMABLE/NOT_EVALUABLE; no prohibited analysis called","STEP09_SENSITIVITY_ANALYSIS_FREEZE.md; step09_sensitivity_scope.csv; research_decisions_log.md — 2026-08-30 D19/D27","Completed; later interpretation must use the registered boundaries","09_sensitivity_analyses.Rmd and later sensitivity outputs","Earlier broad or automatically frozen sensitivity lists","2026-08-30","149 primary wave-edge claims were unchanged and 31 changed retained status in at least one sensitivity; none reversed sign. These are mechanical audit labels, not significance or equivalence tests.","REQUIRED"
"G01","Canonical governance adoption","Use REVISED_PROPOSED_DECISION_REGISTRY_v5.csv as the current execution authority only; no cleanup superseding deletion move or rename is authorised","FROZEN","NOT_APPLICABLE","ACTIVE_FOR_EXECUTION_ONLY","APPROVED","NOT_REQUIRED","NO_CURRENT_EFFECT","Revised read-only governance audit package; researcher instruction to resolve D21 and start Step 07","Registry adopted for execution gating only; no cleanup executed","research_decisions_log.md — 2026-08-30 G01 execution-only adoption","Individual execution decisions must still pass","Step 07 execution gates; later governance references","No prior adopted canonical framework","2026-08-30","Adoption does not activate the cleanup plan and does not silently repair historical files.","REQUIRED"
"G02A","R/05 repair and reproduction authorisation","Bounded R/05 repair and reproduction authorised and completed under CODE_REPAIR_AND_REPRODUCTION_PLAN.md","FROZEN","REPRODUCED","VERIFIED","APPROVED","NOT_REQUIRED","NO_CURRENT_EFFECT","CODE_REPAIR_AND_REPRODUCTION_PLAN.md §3; Gate 1 source and impact audits","R05_G02A_REPAIR_REPRODUCTION_REPORT.md; G02A_UNIT_TEST_RESULTS_20260828.csv; 23/23 tests passed","research_decisions_log.md — 2026-08-28 G02A execution","None; bounded repair complete","R/05_preanalysis_validation_gates.R; D10B; D21","Combined G02 code-repair authorisation","2026-08-28","This authorisation did not cover any network model; no numerical sample count changed.","REQUIRED"
